"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
15,1,"fluminense",4,2012,43.9,17.655,"SI",0.824619206956836,2.14105482203609,38.5146236551124
13,2,"boca juniors",4,2012,36.45,10.205,"SI",0.718971696794218,2.14105482203609,33.5802563014474
6,3,"arsenal de sarandi",4,2012,23.68,-2.565,"NO",0.474067457901344,2.14105482203609,22.1417711037645
1,4,"zamora",4,2012,0.95,-25.295,"NO",0.123396460383692,2.14105482203609,5.76334893967567
13,1,"libertad",5,2012,12.3,-3.715,"SI",0.450718618120529,2.06353696815542,21.8420423319783
13,2,"vasco da gama",5,2012,31.4,15.385,"SI",0.796169657514491,2.06353696815542,38.582766861026
6,3,"nacional",5,2012,10.48,-5.535,"NO",0.414244851804341,2.06353696815542,20.0745059670354
3,4,"alianza lima",5,2012,9.88,-6.135,"NO",0.40240384071606,2.06353696815542,19.5006848399603
14,1,"corinthians",6,2012,43.65,21.5125,"SI",0.865655999899483,2.05337823581753,42.1576495162778
11,2,"cruz azul",6,2012,33.2,11.0625,"SI",0.732905914351952,2.05337823581753,35.692689323755
4,3,"nacional paraguay",6,2012,6.85,-15.2875,"NO",0.241745610747969,2.05337823581753,11.773067744225
3,4,"deportivo tachira",6,2012,4.85,-17.2875,"NO",0.213070710818125,2.05337823581753,10.3765934157422
12,1,"velez sarsfield",7,2012,28.6,8.9675,"SI",0.698101658826687,2.08265924334137,33.5197253731565
10,2,"deportivo quito",7,2012,7.65,-11.9825,"SI",0.294600257952102,2.08265924334137,14.1453893090764
9,3,"defensor sporting",7,2012,8.93,-10.7025,"NO",0.316786099563295,2.08265924334137,15.210654386987
4,4,"guadalajara",7,2012,33.35,13.7175,"NO",0.773171226999288,2.08265924334137,37.1242309307801
13,1,"universidad de chile",8,2012,22.25,2.4125,"SI",0.575124904798915,2.10485852313184,27.3236846314583
11,2,"atletico nacional",8,2012,22.95,3.1125,"SI",0.58903449945534,2.10485852313184,27.9845173906942
5,3,"godoy cruz",8,2012,19.55,-0.2875,"NO",0.520545221558972,2.10485852313184,24.7306512926316
4,4,"penarol",8,2012,14.6,-5.2375,"NO",0.420153897318616,2.10485852313184,19.9611466852159
10,1,"nacional",1,2013,11.25,-10.6875,"SI",0.317051367046729,2.08819927914249,15.1830033758524
9,2,"boca juniors",1,2013,33.95,12.0125,"SI",0.747820624773847,2.08819927914249,35.8117461414381
8,3,"toluca",1,2013,29.1,7.1625,"NO",0.666149920499948,2.08819927914249,31.9006872166674
6,4,"barcelona sc",1,2013,13.45,-8.4875,"NO",0.357177366821961,2.08819927914249,17.1045632660421
9,1,"palmeiras",2,2013,22,2.3,"SI",0.572877686048901,2.03983075595185,28.0845694858434
9,2,"tigres",2,2013,40.1,20.4,"SI",0.854731427738468,2.03983075595185,41.9020757111599
8,3,"libertad",2,2013,9.9,-9.8,"NO",0.332953843419768,2.03983075595185,16.3226210041333
8,4,"sport. cristal",2,2013,6.8,-12.9,"NO",0.27926779874471,2.03983075595185,13.6907337988634
15,1,"atletico mineiro",3,2013,42.5,7.985,"SI",0.680922245214254,2.00943003994175,33.8863375026479
7,2,"sao paulo",3,2013,71.1,36.585,"SI",0.956659775554705,2.00943003994175,47.6085136849272
7,3,"arsenal de sarandi",3,2013,22.98,-11.535,"NO",0.302253730325533,2.00943003994175,15.0417642972181
6,4,"the strongest",3,2013,1.48,-33.035,"NO",0.0695942888472581,2.00943003994175,3.46338451520688
13,1,"velez sarsfield",4,2013,35.8,20.9425,"SI",0.860148059335627,2.02661638698691,42.4425690455638
10,2,"emelec",4,2013,4.3,-10.5575,"SI",0.319355322217754,2.02661638698691,15.7580548676289
9,3,"penarol",4,2013,14.13,-0.7275,"NO",0.511568756840906,2.02661638698691,25.2425056920361
3,4,"deportes iquique",4,2013,5.2,-9.6575,"NO",0.335544248592618,2.02661638698691,16.5568703947713
13,1,"corinthians",5,2013,69.9,40.5425,"SI",0.968251841385991,1.86819895847474,51.8280902038668
13,2,"club tijuana",5,2013,28,-1.3575,"SI",0.498704543331109,1.86819895847474,26.6944021710764
5,3,"club san jose",5,2013,2.25,-27.1075,"NO",0.108252481660062,1.86819895847474,5.79448356766257
3,4,"millonarios",5,2013,17.28,-12.0775,"NO",0.292990092097581,1.86819895847474,15.6830240573942
14,1,"independiente santa fe",6,2013,17.3,5.4975,"SI",0.635250304005161,2.1066921853812,30.1539213186104
10,2,"garcilaso",6,2013,2.68,-9.1225,"SI",0.34535732682727,2.1066921853812,16.3933454172271
8,3,"deportes tolima",6,2013,12.83,1.0275,"NO",0.547271006812642,2.1066921853812,25.9777394443419
1,4,"cerro porteno",6,2013,14.4,2.5975,"NO",0.578813547736129,2.1066921853812,27.4749938198206
13,1,"olimpia",7,2013,15.33,1.4275,"SI",0.555353853456832,2.11089246423273,26.3089599715205
9,2,"newell's old boys",7,2013,20.2,6.2975,"SI",0.65025500264198,2.11089246423273,30.8047431908538
9,3,"universidad de chile",7,2013,17.83,3.9275,"NO",0.605050349034218,2.11089246423273,28.6632483315128
4,4,"deportivo lara",7,2013,2.25,-11.6525,"NO",0.300233259099704,2.11089246423273,14.2230485061129
11,1,"fluminense",8,2013,64.4,36.2475,"SI",0.955502145679632,1.9602741387605,48.7432919093554
8,2,"gremio",8,2013,38,9.8475,"SI",0.713033350312344,1.9602741387605,36.3741650319992
8,3,"huachipato fc",8,2013,7.13,-21.0225,"NO",0.166362573251918,1.9602741387605,8.4866993836439
6,4,"caracas fc",8,2013,3.08,-25.0725,"NO",0.125376069516604,1.9602741387605,6.39584367500153
15,1,"velez sarsfield",1,2014,25.58,15.2525,"SI",0.79440746624428,2.06871265778031,38.4010540688945
10,2,"the strongest",1,2014,1.1,-9.2275,"SI",0.343420653248084,2.06871265778031,16.6006937675225
9,3,"atletico paranaense",1,2014,10.2,-0.1275,"NO",0.523806409288122,2.06871265778031,25.3204043257587
1,4,"universitario",1,2014,4.43,-5.8975,"NO",0.407078128999821,2.06871265778031,19.6778478378243
9,1,"union espanola",2,2014,5.83,-15.4225,"SI",0.239729844132661,2.09819694290058,11.4255167964001
8,2,"san lorenzo",2,2014,35.03,13.7775,"SI",0.774029678171569,2.09819694290058,36.8902300039355
8,3,"independiente del valle",2,2014,18.5,-2.7525,"NO",0.470250099010962,2.09819694290058,22.4121048599413
7,4,"botafogo",2,2014,25.65,4.3975,"NO",0.614187321585393,2.09819694290058,29.272148339723
10,1,"cerro porteno",3,2014,10.7,-1.575,"SI",0.494262861717966,2.10241226705291,23.5093216237179
8,2,"lanus",3,2014,17.75,5.475,"SI",0.63482431078832,2.10241226705291,30.195044080398
7,3,"o'higgins",3,2014,8.75,-3.525,"NO",0.454564093768449,2.10241226705291,21.6210731307063
7,4,"deportivo cali",3,2014,11.9,-0.375,"NO",0.518761000778172,2.10241226705291,24.6745611651779
12,1,"atletico mineiro",4,2014,38.4,23.3875,"SI",0.882493102959534,2.0145884261211,43.8051311879465
8,2,"nacional paraguay",4,2014,3.9,-11.1125,"SI",0.309581962926955,2.0145884261211,15.3670079165016
7,3,"zamora",4,2014,1.1,-13.9125,"NO",0.262927432727343,2.0145884261211,13.0511735954716
5,4,"independiente santa fe",4,2014,16.65,1.6375,"NO",0.559585927507267,2.0145884261211,27.7766873000803
11,1,"defensor sporting",5,2014,12.08,-9.0725,"SI",0.34628136365915,1.97758473533709,17.5103173821841
10,2,"cruzeiro",5,2014,48.65,27.4975,"SI",0.913093275070221,1.97758473533709,46.1721441693157
10,3,"universidad de chile",5,2014,20.3,-0.8525,"NO",0.509017010585162,1.97758473533709,25.7393274477514
3,4,"garcilaso",5,2014,3.58,-17.5725,"NO",0.209193086022556,1.97758473533709,10.5782110007488
14,1,"gremio",6,2014,33.9,13.8225,"SI",0.774672005299677,2.07371857342562,37.356660408359
10,2,"atletico nacional",6,2014,17.55,-2.5275,"SI",0.474831307947843,2.07371857342562,22.8975770402374
8,3,"newell's old boys",6,2014,15.23,-4.8475,"NO",0.427934757230707,2.07371857342562,20.6361057240179
1,4,"nacional",6,2014,13.63,-6.4475,"NO",0.396280502947394,2.07371857342562,19.1096568273857
11,1,"bolivar",7,2014,7.85,-12.795,"SI",0.280997523314642,2.10847514660402,13.3270493497268
10,2,"leon fc",7,2014,29.9,9.255,"SI",0.703028334139406,2.10847514660402,33.342974673983
7,3,"flamengo",7,2014,21.9,1.255,"NO",0.551871461796718,2.10847514660402,26.1739609634754
6,4,"emelec",7,2014,22.93,2.285,"NO",0.572577827353259,2.10847514660402,27.1560150128148
13,1,"santos laguna",8,2014,30.05,13.335,"SI",0.76764453787054,2.10082980118813,36.5400632376977
12,2,"arsenal de sarandi",8,2014,18.53,1.815,"SI",0.563156321541538,2.10082980118813,26.8063753295505
5,3,"penarol",8,2014,16.68,-0.035,"NO",0.52569087566431,2.10082980118813,25.023011162875
3,4,"deportivo anzoategui",8,2014,1.6,-15.115,"NO",0.244338066111738,2.10082980118813,11.6305502698768
12,1,"independiente santa fe",1,2015,12.78,-14.54,"SI",0.253114643922862,1.94368735962589,13.0223949170293
9,2,"atletico mineiro",1,2015,56.75,29.43,"SI",0.924830843434697,1.94368735962589,47.5812552288607
9,3,"colo colo",1,2015,14.25,-13.07,"NO",0.276481164358875,1.94368735962589,14.2245697585897
6,4,"atlas",1,2015,25.5,-1.82,"NO",0.489260707909452,1.94368735962589,25.1717800955202
13,1,"corinthians",2,2015,75.55,21.4925,"SI",0.865465880891483,2.0877037521745,41.4553971074697
12,2,"sao paulo",2,2015,94.85,40.7925,"SI",0.968873670448561,2.0877037521745,46.4085802135196
7,3,"san lorenzo",2,2015,37.85,-16.2075,"NO",0.228237804285366,2.0877037521745,10.9324804368263
3,4,"danubio fc",2,2015,7.98,-46.0775,"NO",0.0251263965490904,2.0877037521745,1.20354224218448
